name,norad_id,aos,tca,los,duration_s,el_max_deg,az_aos_deg,az_tca_deg,az_los_deg,range_tca_km,magnitude,cloud,score,priority
SL-16 R/B,26070,2026-08-31T13:09:43.552576,2026-08-31T13:15:07.142450,2026-08-31T13:20:27.855555,644.3,44.675,0.5,72.5,144.3,1138.1,3.587,0.205,0.2788,1.0
HAWK-3B,48931,2026-08-31T13:25:29.223551,2026-08-31T13:27:28.393363,2026-08-31T13:29:27.588671,238.37,18.031,53.1,99.8,146.4,928.1,4.85,0.209,0.0604,1.0
COSMOS 2084,20663,2026-08-31T13:43:34.331620,2026-08-31T13:47:32.127711,2026-08-31T13:51:29.594785,475.26,44.682,350.7,64.1,137.4,763.7,4.711,0.216,0.1462,1.0
SL-14 R/B,16496,2026-08-31T13:57:34.857545,2026-08-31T14:01:53.537633,2026-08-31T14:06:20.285687,525.43,59.551,5.5,85.6,165.5,720.6,4.577,0.218,0.1847,1.0
SL-16 R/B,17590,2026-08-31T14:22:25.709104,2026-08-31T14:27:56.300870,2026-08-31T14:33:27.961574,662.25,57.847,208.2,286.8,5.6,970.9,4.441,0.197,0.2049,1.0
CZ-4B R/B,25732,2026-08-31T14:38:58.285343,2026-08-31T14:44:30.338222,2026-08-31T14:50:03.091827,664.81,85.885,165.6,77.1,349.0,861.4,5.191,0.183,0.1102,1.0
SL-8 R/B,21088,2026-08-31T22:53:15.375554,2026-08-31T22:59:24.085769,2026-08-31T23:05:36.262488,740.89,63.682,193.5,274.1,355.1,1075.9,5.443,0.395,0.0605,1.0
HST,20580,2026-08-31T23:13:03.932914,2026-08-31T23:15:32.155672,2026-08-31T23:18:00.244171,296.31,16.67,336.2,18.0,59.8,1261.7,4.067,0.517,0.0697,1.3
HUANJING 1B (HJ-1B),33321,2026-08-31T23:35:26.968438,2026-08-31T23:39:46.285825,2026-08-31T23:44:02.756598,515.79,55.694,0.2,282.5,204.5,754.9,4.723,0.715,0.0585,1.0
HRC MONOBLOCK CAMERA,66052,2026-09-01T23:27:48.230276,2026-09-01T23:30:18.713999,2026-09-01T23:32:49.671962,301.44,43.899,308.6,234.0,159.4,429.5,3.356,0.634,0.1095,1.0
ZHANGHENG 1-01 (CSES-1),43194,2026-09-01T23:39:02.657333,2026-09-01T23:42:17.318419,2026-09-01T23:45:32.332633,389.68,31.446,195.7,259.9,324.1,869.4,4.756,0.608,0.0543,1.0
SL-16 R/B,19120,2026-09-01T23:50:52.106822,2026-09-01T23:56:24.523189,2026-09-02T00:01:54.897914,662.79,88.934,195.9,285.2,15.8,820.0,3.549,0.578,0.1725,1.0
TIANMU-1 14,58648,2026-09-02T13:20:05.857555,2026-09-02T13:23:38.904932,2026-09-02T13:27:11.419359,425.56,81.16,166.0,78.9,351.6,487.6,4.237,0.777,0.0617,1.0
UITMSAT-2,67686,2026-09-02T13:37:28.263842,2026-09-02T13:40:14.390262,2026-09-02T13:42:59.994791,331.73,88.687,216.9,306.8,36.6,328.5,3.507,0.81,0.0666,1.0
SL-16 R/B,17590,2026-09-02T13:48:04.497080,2026-09-02T13:53:40.736221,2026-09-02T13:59:17.863166,673.37,74.393,201.2,286.2,11.4,868.8,3.92,0.837,0.0564,1.0
CYGFM05,41884,2026-09-03T13:15:59.731669,2026-09-03T13:19:09.415793,2026-09-03T13:22:18.837469,379.11,77.888,301.6,215.1,128.7,391.5,4.127,0.194,0.2251,1.0
GAOFEN-8,40701,2026-09-03T13:28:12.515926,2026-09-03T13:31:25.493165,2026-09-03T13:34:37.772162,385.26,76.6,14.8,101.2,187.5,435.8,3.841,0.229,0.2501,1.0
YAOGAN-29,41038,2026-09-03T13:46:20.044881,2026-09-03T13:50:34.815921,2026-09-03T13:54:49.301743,509.26,59.941,157.2,77.4,357.8,707.7,4.591,0.283,0.1682,1.0
YAOGAN-3,32289,2026-09-03T14:00:16.467605,2026-09-03T14:04:27.393036,2026-09-03T14:08:38.318468,501.85,89.284,168.4,257.6,348.4,596.6,4.651,0.324,0.1519,1.0
GAOFEN-9 01,40894,2026-09-03T14:27:17.405464,2026-09-03T14:31:32.917211,2026-09-03T14:35:50.975697,513.57,54.172,181.8,259.4,337.1,764.0,5.897,0.41,0.0561,1.0
HST,20580,2026-09-03T23:13:51.216049,2026-09-03T23:17:33.044180,2026-09-03T23:21:14.718799,443.5,65.376,303.5,26.2,108.9,512.8,1.237,0.887,0.0862,1.3
SL-16 R/B,23088,2026-09-03T23:56:16.299533,2026-09-04T00:01:51.897676,2026-09-04T00:07:28.005231,671.71,68.818,203.4,286.4,9.6,895.3,3.369,0.88,0.0525,1.0
FENGYUN 3D,43010,2026-09-04T22:52:41.127876,2026-09-04T22:58:00.464254,2026-09-04T23:03:19.895053,638.77,67.749,5.6,283.7,201.5,885.7,4.585,0.403,0.1408,1.0
COSMOS 2058,20465,2026-09-04T23:09:30.802524,2026-09-04T23:13:16.957665,2026-09-04T23:17:04.285701,453.48,50.925,342.9,266.7,190.4,667.9,4.287,0.387,0.157,1.0
SL-16 R/B,23088,2026-09-04T23:41:19.495638,2026-09-04T23:46:56.208239,2026-09-04T23:52:33.487062,673.99,73.697,201.5,286.2,11.2,873.0,3.33,0.353,0.2879,1.0
LEOPARD,67687,2026-09-05T00:03:08.382841,2026-09-05T00:05:42.779852,2026-09-05T00:08:17.770695,309.39,27.825,296.6,234.7,172.8,696.2,4.382,0.336,0.0992,1.0
